fraction,TP,FN,FP,TN,precision,recall,f1
0.25,199,525,222,20467,0.47268408551068886,0.27486187845303867,0.3475982532751091
0.5,250,474,223,20466,0.5285412262156448,0.3453038674033149,0.41771094402673353
0.75,277,447,173,20516,0.6155555555555555,0.3825966850828729,0.47189097103918226
