comparison,calibration_status,n_projects,mean_delta_f1,median_delta_f1,wilcoxon_W_plus,wilcoxon_exact_p_one_sided,rank_biserial,macro_diff_ci_low,macro_diff_ci_high,pooled_left_ci_low,pooled_left_ci_high,pooled_diff_ci_low,pooled_diff_ci_high
CoDA-FTP vs FF,strict source-only,23,0.3382347581777309,0.25,166.0,3.814697265625e-05,0.9415204678362573,0.19348203986325943,0.4880567882895925,0.36304112136480743,0.6955272164658446,0.21880646544630694,0.5368540938658004
CoDA-FTP vs Vocab,strict source-only,23,0.34222227900792895,0.25,146.0,0.00014495849609375,0.9084967320261438,0.19289784226251164,0.5012458955888188,0.3569833815127147,0.6940644211192156,0.11490181047816987,0.5489211066124415
CoDA-FTP vs Flakify,contextual reproduction,23,0.25880632306096685,0.19340531501072455,178.0,0.002429962158203125,0.6952380952380952,0.08554562006199862,0.42715570320510093,0.3614451152726204,0.6943150145323206,0.16758347459297881,0.4197444838690526
CoDA-FTP vs DeepFlaky,contextual reproduction,23,0.008493503439549726,0.0,107.0,0.4781646728515625,0.01904761904761905,-0.1523635565075995,0.16433953156094708,0.36578128302684426,0.6937998722763888,0.03346148215520198,0.6072930743134936
