baseline,protocol,dataset,feature_protocol,classifier,balance,threshold_policy,threshold_candidates,calibration_projects_per_target,calibration_seed,ig_threshold,num_trees,random_state,TP,FN,FP,TN,precision,recall,f1,auc
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,4,5,1307,0.0,0.0,0.0,0.5257240853658536
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,4,2,1310,0.0,0.0,0.0,0.5086699695121951
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,31,1,1589,420,0.0191358024691358,0.96875,0.0375302663438256,0.615379230960677
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,32,3,2006,0.0,0.0,0.0,0.6860378297660528
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,93,23,2,69,0.9789473684210528,0.8017241379310345,0.8815165876777251,0.9679456046624576
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,91,25,1,70,0.9891304347826086,0.7844827586206896,0.875,0.98300145701797
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,43,3,73,194,0.3706896551724138,0.9347826086956522,0.5308641975308642,0.8438365087119362
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,43,3,65,202,0.3981481481481481,0.9347826086956522,0.5584415584415584,0.8851164305487705
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,1,4,6200,0.0,0.0,0.0,0.436250805931657
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,1,2,6202,0.0,0.0,0.0,0.7148613797549968
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,1,4,50,0.0,0.0,0.0,0.8888888888888888
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,1,3,51,0.0,0.0,0.0,0.9074074074074074
flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,3,2,553,0.0,0.0,0.0,0.8069069069069068
vocabulary_flakeflagger,leave-one-project-out,result/processed_data_with_vocabulary_per_test.csv,official_flakeflagger_feature_families_source_only_ig,RF,SMOTE,source_only_cv,"0.30,0.35,0.40,0.45,0.50,0.55,0.60,0.65,0.70,0.75,0.80,0.85,0.90",5,8,0.01,5000,0,0,3,0,555,0.0,0.0,0.0,0.2615615615615615
