baseline,project,threshold_policy,selected_threshold,calibration_projects,TP,FN,FP,TN,precision,recall,f1,auc,num_selected_features
vocabulary_flakeflagger,ninja,source_only_cv,0.4,"assertj-core,commons-exec,http-request,httpcore,orbit",0,1,4,302,0.0,0.0,0.0,0.9117647058823528,28
flakeflagger,okhttp,source_only_cv,0.35,"commons-exec,handlebars.java,logback,spring-boot,wro4j",0,100,0,708,0.0,0.0,0.0,0.5833050847457627,14
vocabulary_flakeflagger,okhttp,source_only_cv,0.3,"commons-exec,handlebars.java,logback,spring-boot,wro4j",0,100,8,700,0.0,0.0,0.0,0.5350776836158192,34
flakeflagger,orbit,source_only_cv,0.3,"alluxio,handlebars.java,http-request,okhttp,wro4j",0,7,2,77,0.0,0.0,0.0,0.7269439421338155,13
vocabulary_flakeflagger,orbit,source_only_cv,0.4,"alluxio,handlebars.java,http-request,okhttp,wro4j",0,7,0,79,0.0,0.0,0.0,0.7142857142857142,26
flakeflagger,spring-boot,source_only_cv,0.35,"achilles,elastic-job-lite,java-websocket,orbit,wildfly",5,77,195,1740,0.025,0.0609756097560975,0.0354609929078014,0.6737915169849372,14
vocabulary_flakeflagger,spring-boot,source_only_cv,0.3,"achilles,elastic-job-lite,java-websocket,orbit,wildfly",9,73,171,1764,0.05,0.1097560975609756,0.0687022900763358,0.6833679964706624,34
flakeflagger,undertow,source_only_cv,0.35,"activiti,commons-exec,hector,orbit,zxing",3,4,17,157,0.15,0.4285714285714285,0.2222222222222222,0.7233169129720853,13
vocabulary_flakeflagger,undertow,source_only_cv,0.45,"activiti,commons-exec,hector,orbit,zxing",3,4,20,154,0.1304347826086956,0.4285714285714285,0.2,0.7339901477832513,28
flakeflagger,wildfly,source_only_cv,0.3,"activiti,assertj-core,handlebars.java,hbase,undertow",7,16,111,859,0.059322033898305,0.3043478260869565,0.0992907801418439,0.8022187359928283,13
vocabulary_flakeflagger,wildfly,source_only_cv,0.4,"activiti,assertj-core,handlebars.java,hbase,undertow",5,18,35,935,0.125,0.217391304347826,0.1587301587301587,0.8237561631555357,32
flakeflagger,wro4j,source_only_cv,0.3,"ambari,http-request,logback,ninja,wildfly",5,11,270,848,0.0181818181818181,0.3125,0.0343642611683848,0.6491502683363148,13
vocabulary_flakeflagger,wro4j,source_only_cv,0.5,"ambari,http-request,logback,ninja,wildfly",1,15,59,1059,0.0166666666666666,0.0625,0.0263157894736842,0.6256708407871199,32
flakeflagger,zxing,source_only_cv,0.3,"commons-exec,elastic-job-lite,http-request,ninja,orbit",0,2,44,299,0.0,0.0,0.0,0.3760932944606414,13
vocabulary_flakeflagger,zxing,source_only_cv,0.3,"commons-exec,elastic-job-lite,http-request,ninja,orbit",0,2,42,301,0.0,0.0,0.0,0.3855685131195335,29
